Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,"Week 0
Impressions","Week 1
Impressions","Week 0
eCPM","Week 1
eCPM","Week 0
Revenue","Week 1
Revenue",Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Admob,Phone,Banner,320x50,ca-app-pub-7631927967790968/5852779533,,1071378152,Portrait,"4,920","10,007",$0.05,$0.11,$0.27,$1.13,"1,819","4,550",,,,,3/23/2016,3/23/2016,N/A,
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Admob,Phone,Interstitial,320x480,ca-app-pub-7631927967790968/8806245936,,1071378152,Portrait,834,"2,186",$0.38,$1.40,$0.32,$3.06,"1,819","4,550",,,,,3/23/2016,3/23/2016,N/A,
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Admob,Tablet,Banner,728x90,ca-app-pub-7631927967790968/7329512738,,1071378152,Portrait,"7,944","18,332",$0.07,$0.12,$0.53,$2.15,"1,819","4,550",,,,,3/23/2016,3/23/2016,N/A,
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Admob,Tablet,Interstitial,768x1024,ca-app-pub-7631927967790968/1282979136,,1071378152,Portrait,"1,532","3,803",$1.10,$0.53,$1.69,$2.00,"1,819","4,550",,,,,3/23/2016,3/23/2016,N/A,
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Mopub,Phone,Banner,320x50,4739fe104b5e45a7aac2694383047e9c,,1071378152,Portrait,652,"1,092",$1.12,$1.02,$0.73,$1.12,"1,819","4,550",,,,,3/23/2016,N/A,3/23/2016,
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Mopub,Phone,Interstitial,320x480,1ad341feeba44389a30b7f5060c7fc6c,,1071378152,Portrait,"1,055","2,010",$6.94,$5.57,$7.32,$11.20,"1,819","4,550",,,,,3/23/2016,N/A,3/23/2016,
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Mopub,Tablet,Banner,728x90,d13c0a06a59f41e89b32525d0a164bdc,,1071378152,Portrait,596,"1,049",$1.02,$1.01,$0.61,$1.06,"1,819","4,550",,,,,3/23/2016,N/A,3/23/2016,
12/30/2015,V1.0,2/26/2016,Makeover Mania Inc,MKM009,Fashion Paris Tour - BFF Salon: Beauty Spa & Makeup Game for Girls,iOS,Mopub,Tablet,Interstitial,768x1024,81cf410b85bd4e82afffc70c838edd51,,1071378152,Portrait,"1,276","2,632",$5.87,$5.18,$7.49,$13.63,"1,819","4,550",,,,,3/23/2016,N/A,3/23/2016,
12/30/2015,V1.0,3/3/2016,Makeover Mania Inc,MKM010,Prom Night Salon - Dance Party Girl,iOS,Admob,Phone,Banner,320x50,ca-app-pub-7631927967790968/7050311134,,1071378563,Portrait,"7,717","11,073",$0.11,$0.21,$0.85,$2.35,"2,857","4,366",,,,Ad suspended by Admob at 24 July 2016,3/23/2016,3/23/2016,N/A,
12/30/2015,V1.0,3/3/2016,Makeover Mania Inc,MKM010,Prom Night Salon - Dance Party Girl,iOS,Admob,Phone,Interstitial,320x480,ca-app-pub-7631927967790968/1003777539,,1071378563,Portrait,"1,431","2,542",$0.86,$0.95,$1.23,$2.41,"2,857","4,366",,,,Ad suspended by Admob at 24 July 2016,3/23/2016,3/23/2016,N/A,
